Date	bern	george	mort	seona	simon	tom
2014-09-30		149	132	124			
2014-10-07		129	127	115			
2014-10-14		129	116	151		110	
2014-10-21		123	116				
2014-10-28		146	133	138		119	
2014-11-04		123	107	113			
2014-11-11		159	98				
2014-11-18		144	136	110			
2014-12-02			132				
2014-12-16		134	112	116	109		
2015-01-06	117	118	116	103	89		
2015-01-13		92	133	100	84		
2015-01-27	125	115	111		114		
2015-02-10	109	109	98			99	
2015-02-24	135	115	116		95		
2015-03-03		138	121		114	92	
2015-03-10	121	125			127		
2015-03-17	145	73	120				
2015-03-24		131		98	126		
2015-03-31	125	137		110	121	99	
2015-04-07		109	125				
2015-04-14		126	145		108	121	
2015-04-21		105	159		133		
2015-04-28	180	155	134				
2015-05-12	114	123	145		116	111	
2015-05-19	113	153	129	108	118	115	
2015-05-26	108	125	150		108		
2015-06-02	121	145			154		
2015-06-09		123	166	112	123		
2015-06-16	124	122	106		114	112	
2015-06-23		149	125		115		
2015-07-07	125	128	129	111	130	126	
2015-07-15		122	129	144			
2015-07-21	133	123	123		91	129	
2015-07-28		128		137			
2015-08-04		165	130				
2015-08-11			131		121	92	
2015-08-25		149	138			105	
2015-09-08	115	158	108	101		105	
2015-09-15	116	169	132		139		
2015-09-22	97	152	114	103			
2015-09-29	136	135	137			93	
2015-10-06	106	160	118			84	
2015-10-13		162	114				
2015-10-20		184					
2015-11-10		133	152			98	
2015-11-17		141					
2015-12-01		136	156			108	
2015-12-08		165	131		141	112	
2015-12-22				94			
2015-12-29	109	154	102				
2016-01-19			136			126	
2016-02-02		136	115				
2016-02-21	137	135	135			101	
2016-02-23		176	121				
2016-03-01	99	143	117				
2016-03-08	118	163	151			110	
2016-03-15	131	121	139			113	
2016-03-22		168	136				
2016-04-05		146	156			117	
2016-06-21		143	143			116	
2016-10-03	138	139	136			134	
2016-10-10	122	131					
2016-10-24	134	140	100			103	
2016-10-31	114	155	106			125	
2016-11-06	116	135	105			122	
2016-11-14	128	157					
2016-11-21	110	124				114	
2016-11-28	94	171	121			120	
2016-12-05		128					
2016-12-12	159	162					
2016-12-19	165	119				149	
2017-01-02	110	144					
2017-01-09	123	142	148			155	
2017-01-16	124	120				132	
2017-01-23	114	132					
2017-01-29	120	139	111			112	
2017-02-20	116	201	128			145	
2017-02-27	109	154				113	
2017-03-12	129	139	111			117	
2017-03-17	134						
2017-03-27		145	135			109	
2017-04-03		140				126	
2017-04-10	118	132				152	
2017-04-19	125	134	119				
2017-05-08	122	92	133				
2017-05-15	134	179				141	
2017-05-29	132	172	109			120	
2017-06-05		141				109	
2017-06-12	147	172	114				
2017-06-21		112	102			91	
2017-06-26		149				141	
2017-07-03	158	159	140			115	
2017-07-10		202				136	
2017-07-17		120	122			142	
2017-07-24	151	148					
2017-07-31	144	193				170	
2017-08-14	117	142					
2017-08-21	129	158				121	
2017-08-28	123	163				181	
2017-09-04		119	104			138	
2017-10-02	130		129			133	
