date	bern	george	mort	seona	simon	tom
20140930		149	132	124			
20141007		129	127	115			
20141014		129	116	151		110	
20141021		123	116				
20141028		146	133	138		119	
20141104		123	107	113			
20141111		159	98				
20141118		144	136	110			
20141202			132				
20141216		134	112	116	109		
20150106	117	118	116	103	89		
20150113		92	133	100	84		
20150127	125	115	111		114		
20150210	109	109	98			99	
20150224	135	115	116		95		
20150303		138	121		114	92	
20150310	121	125			127		
20150317	145	73	120				
20150324		131		98	126		
20150331	125	137		110	121	99	
20150407		109	125				
20150414		126	145		108	121	
20150421		105	159		133		
20150428	180	155	134				
20150512	114	123	145		116	111	
20150519	113	153	129	108	118	115	
20150526	108	125	150		108		
20150602	121	145			154		
20150609		123	166	112	123		
20150616	124	122	106		114	112	
20150623		149	125		115		
20150707	125	128	129	111	130	126	
20150715		122	129	144			
20150721	133	123	123		91	129	
20150728		128		137			
20150804		165	130				
20150811			131		121	92	
20150825		149	138			105	
20150908	115	158	108	101		105	
20150915	116	169	132		139		
20150922	97	152	114	103			
20150929	136	135	137			93	
20151006	106	160	118			84	
20151013		162	114				
20151020		184					
20151110		133	152			98	
20151117		141					
20151201		136	156			108	
20151208		165	131		141	112	
20151222				94			
20151229	109	154	102				
20160119			136			126	
20160202		136	115				
20160221	137	135	135			101	
20160223		176	121				
20160301	99	143	117				
20160308	118	163	151			110	
20160315	131	121	139			113	
20160322		168	136				
20160405		146	156			117	
20160621		143	143			116	
20161003	138	139	136			134	
20161010	122	131					
20161024	134	140	100			103	
20161031	114	155	106			125	
20161106	116	135	105			122	
20161114	128	157					
20161121	110	124				114	
20161128	94	171	121			120	
20161205		128					
20161212	159	162					
20161219	165	119				149	
20170102	110	144					
20170109	123	142	148			155	
20170116	124	120				132	
20170123	114	132					
20170129	120	139	111			112	
20170220	116	201	128			145	
20170227	109	154				113	
20170312	129	139	111			117	
20170317	134						
20170327		145	135			109	
20170403		140				126	
20170410	118	132				152	
20170419	125	134	119				
20170508	122	92	133				
20170515	134	179				141	
20170529	132	172	109			120	
20170605		141				109	
20170612	147	172	114				
20170621		112	102			91	
20170626		149				141	
20170703	158	159	140			115	
20170710		202				136	
20170717		120	122			142	
20170724	151	148					
20170731	144	193				170	
20170814	117	142					
20170821	129	158				121	
20170828	123	163				181	
20170904		119	104			138	
20171002	130		129			133	
