date	bern	george	mort	seona	simon	tom
20140930		149	116	94			
20140930		103	132	124			
20140930		111	94	103			
20141007		129	78	99			
20141007		126	99	89			
20141007		106	127	115			
20141014		115	116	124		97	
20141014		129	102	88		110	
20141014		111	95	151		88	
20141021		102	100				
20141021		123	116				
20141021		113	107				
20141028		134	133	138		119	
20141028		100	83	106		93	
20141028		146	99	98		71	
20141104		123	107	113			
20141104		115	104	112			
20141104		122	98	88			
20141111		159	89				
20141111		74	80				
20141111		125	98				
20141118		100	83	107			
20141118		144	96	101			
20141118		120	136	110			
20141202			125				
20141202			107				
20141202			132				
20141216		84	112	73	103		
20141216		134	67	116	109		
20141216		131	91	86	93		
20150106	82	114	81	90	89		
20150106	117	108	116	95	75		
20150106	103	118	96	103	79		
20150113		88	117	97	77		
20150113		82	125	93	84		
20150113		92	133	100	81		
20150127	49	80	111		42		
20150127	125	87	74		65		
20150127	75	115	92		114		
20150127	65	85	61		42		
20150127	54	115	52		47		
20150210	72	109	94			70	
20150210	97	86	86			99	
20150210	109	106	98			83	
20150224	135	108	116		95		
20150224	105	107	71		70		
20150224	124	115	95		95		
20150303		106	113		56	60	
20150303		119	88		114	92	
20150303		138	121		73	64	
20150310	121	125			109		
20150310	110	78			127		
20150310	98	93			58		
20150317	145	73	88				
20150317	102	55	120				
20150317	115	57	109				
20150324		92		82	70		
20150324		83		98	90		
20150324		131		82	126		
20150331	112	103		110	81	96	
20150331	125	118		69	65	87	
20150331	113	137		86	121	99	
20150407		106	104				
20150407		106	71				
20150407		90	120				
20150414		87	106		108	116	
20150414		126	107		102	121	
20150414		95	145		77	92	
20150421		91	96		118		
20150421		105	159		133		
20150421		96	91		110		
20150421		91	101		96		
20150421		88	103		89		
20150428	124	116	134				
20150428	180	133	112				
20150428	141	155	128				
20150512	89	106	121		111	111	
20150512	112	116	108		116	111	
20150512	114	123	145		105	102	
20150519	88	153	129	83	98	101	
20150519	113	101	102	108	118	115	
20150519	108	141	99	94	89	115	
20150526	101	125	110		104		
20150526	108	114	150		91		
20150526	104	92	93		108		
20150602	104	109			94		
20150602	121	145			154		
20150602	106	95			64		
20150609		96	89	96	103		
20150609		123	166	112	91		
20150609		111	98	93	123		
20150616	79	120	101		101	93	
20150616	124	122	96		111	112	
20150616	90	102	106		114	106	
20150623		147	118		70		
20150623		149	96		90		
20150623		122	125		115		
20150707	83	113	117	82	110	96	
20150707	125	128	129	106	130	126	
20150707	125	102	98	111	116	105	
20150715		116	116	144			
20150715		122	129	85			
20150721	133	123	123		83	103	
20150721	84	84	105		91	86	
20150721	108	103	115		56	129	
20150728		128		100			
20150728		117		137			
20150728		102		136			
20150804		141	130				
20150804		165	78				
20150804		106	79				
20150811			131		121	86	
20150811			100		94	92	
20150811			78		96	88	
20150825		149	138			86	
20150825		114	96			100	
20150825		107	107			105	
20150908	107	110	108	101		51	
20150908	103	158	94	92		105	
20150908	115	119	92	78		100	
20150915	98	98	97		86		
20150915	113	132	86		139		
20150915	116	169	132		119		
20150922	87	117	83	82			
20150922	83	107	114	90			
20150922	97	152	100	103			
20150929	112	110	137			59	
20150929	91	135	95			93	
20150929	136	114	136			89	
20151006	106	160	118			83	
20151006	82	143	102			84	
20151006	74	97	109			76	
20151013		118	114				
20151013		132	106				
20151013		162	92				
20151020		184					
20151020		157					
20151020		122					
